,mae_初始,mae_改进,better
608,0.7891160190000001,0.72252981,-0.06658620900000001
600,0.85423223,0.826532577,-0.02769965299999999
42,0.838050739,0.876170488,0.038119748999999925
85,0.676154776,0.923551384,0.24739660800000007
288,0.58423328,0.57221094,-0.01202234000000002
66,0.47996175399999996,0.426981901,-0.052979852999999966
305,0.73867099,0.730695712,-0.007975277999999975
353,0.724018085,0.700816738,-0.023201346999999983
249,0.425815448,0.412397622,-0.013417825999999966
140,0.6557219320000001,0.607914576,-0.04780735600000008
580,0.636993555,0.614288267,-0.022705287999999935
420,0.43392032,0.42923236600000003,-0.004687953999999994
199,0.7914262790000001,0.7821997890000001,-0.009226489999999976
201,0.759061978,0.707135856,-0.05192612200000002
590,0.46834540399999997,0.466170204,-0.0021751999999999883
610,0.561077555,0.572619706,0.011542151
489,0.868221371,0.8403447820000001,-0.027876588999999896
387,0.517642446,0.523223709,0.0055812630000000585
528,0.6393158320000001,0.6227061629999999,-0.01660966900000016
193,0.49874143,0.513998064,0.015256634000000047
480,0.7686531790000001,0.761485372,-0.0071678070000000815
232,0.539166987,0.530092132,-0.009074854999999937
409,0.8361226690000001,0.794266693,-0.04185597600000013
51,0.831407199,0.921415834,0.090008635
313,1.0145759429999999,0.929418428,-0.0851575149999999
524,0.609311316,0.645956407,0.03664509100000002
380,0.763454075,0.7538468220000001,-0.009607252999999871
91,0.9238939559999999,0.8622000809999999,-0.06169387500000001
217,0.7133801120000001,0.679336866,-0.03404324600000008
599,0.534272499,0.5296799560000001,-0.0045925429999998935
352,0.664045984,0.610498922,-0.053547062000000034
152,0.354608119,0.313110295,-0.041497824000000016
448,0.7832269279999999,0.770319793,-0.012907134999999959
484,0.8408806740000001,0.737706358,-0.10317431600000015
179,0.523843549,0.46192299200000003,-0.06192055699999993
21,0.741038634,0.662503769,-0.07853486500000006
434,0.7301800159999999,0.758849821,0.028669805000000048
41,0.77833523,0.966425223,0.18808999299999996
19,0.586699223,0.6240224870000001,0.03732326400000008
260,0.501080698,0.554265158,0.05318445999999999
354,0.318678132,0.364408916,0.045730784000000024
50,0.530448178,0.556719274,0.026271095999999994
111,0.9653023540000001,0.974309216,0.009006861999999893
53,0.547722307,0.396223776,-0.151498531
586,0.5851885920000001,0.540540256,-0.044648336000000066
328,0.7605013409999999,0.7345032459999999,-0.025998094999999943
234,0.750779663,0.7656901159999999,0.014910452999999935
105,0.533013416,0.480578679,-0.052434736999999954
561,0.554448264,0.527476622,-0.026971642000000018
338,1.017456578,0.8409923340000001,-0.17646424399999994
401,0.314112231,0.250781448,-0.063330783
275,0.700607605,0.7258959209999999,0.025288315999999922
529,1.122388708,0.9383388020000001,-0.18404990599999982
385,0.575076873,0.672826685,0.09774981199999999
414,0.68970631,0.653707943,-0.03599836700000003
362,0.399777914,0.325265918,-0.07451199600000002
39,0.91250819,0.983349253,0.07084106299999993
4,1.052591718,0.98104962,-0.071542098
474,0.582603026,0.5604033970000001,-0.022199628999999943
477,0.478894289,0.489148735,0.010254446000000028
274,0.49250364700000004,0.470321475,-0.022182172000000056
184,0.749765511,0.651587065,-0.09817844600000003
514,0.747279067,0.7924183020000001,0.045139235000000055
22,1.584964455,1.619645777,0.03468132199999996
479,1.006587547,0.912848839,-0.09373870800000006
428,0.6151966529999999,0.628090586,0.01289393300000008
166,0.409405501,0.427395711,0.017990210000000006
324,0.849476672,0.9445992059999999,0.09512253399999993
318,0.454739723,0.426883346,-0.027856376999999988
567,0.914863898,0.880345307,-0.03451859099999999
312,0.60578904,0.5835502779999999,-0.02223876200000008
134,0.7333454759999999,0.99934763,0.26600215400000016
143,0.795310651,0.845374958,0.050064306999999975
393,1.454729968,1.38277357,-0.0719563980000002
425,0.427849253,0.351543781,-0.07630547199999999
483,0.61059221,0.599781131,-0.010811079000000001
298,0.741239098,0.6957692759999999,-0.04546982200000005
357,0.523325127,0.529544966,0.006219839000000005
462,0.88753279,0.9074854640000001,0.019952674000000115
177,0.689298002,0.6853232229999999,-0.003974779000000095
555,0.697663811,0.7319424720000001,0.0342786610000001
36,0.8371188620000001,0.837456862,0.00033799999999994945
82,0.45713126200000004,0.397248859,-0.05988240300000003
405,0.400365453,0.360771422,-0.039594030999999974
216,0.907219435,0.864172093,-0.043047342000000044
226,0.616658456,0.595714331,-0.02094412499999998
229,0.367004184,0.333200641,-0.03380354299999999
491,0.630733431,0.58308192,-0.04765151099999998
103,0.632771701,0.577131347,-0.055640354
220,0.683641953,0.7013569540000001,0.01771500100000012
381,0.645179889,0.659638881,0.014458992000000004
606,0.476367117,0.459484785,-0.016882332
402,0.69615896,0.64627262,-0.04988634000000003
284,1.146527283,1.2004414829999999,0.05391419999999991
343,0.575080195,0.5116995320000001,-0.06338066299999989
219,0.768810508,0.719368328,-0.04944218
517,1.2389269790000002,1.166063817,-0.0728631620000002
210,0.431852315,0.433351256,0.0014989410000000314
90,0.696670188,0.6618374779999999,-0.0348327100000001
144,0.389375429,0.376841958,-0.012533471000000018
482,1.370503141,1.361922007,-0.008581133999999935
587,0.362082116,0.35629908600000004,-0.005783029999999967
125,0.6392373370000001,0.595320996,-0.04391634100000008
421,0.238833785,0.243706848,0.004873063000000011
597,0.715394787,0.6333275279999999,-0.08206725900000011
602,0.8703909459999999,0.84133837,-0.029052575999999886
31,0.839551012,1.007181617,0.16763060500000004
89,1.319181572,1.262439453,-0.056742118999999924
57,0.735968451,0.7082952240000001,-0.027673226999999856
452,0.43126043700000005,0.506685817,0.07542537999999999
488,0.809046684,0.869000738,0.05995405399999998
475,0.42087926200000003,0.372418596,-0.04846066600000004
424,0.6871498340000001,0.7040315140000001,0.01688168000000001
603,0.9262873140000001,0.9389303390000001,0.01264302500000003
132,0.5723096910000001,0.559634956,-0.012674735000000048
410,0.665378794,0.697840183,0.03246138899999995
151,0.581806,0.660119044,0.07831304399999994
594,0.9476064340000001,0.874788232,-0.07281820200000011
605,0.590924306,0.5682595579999999,-0.022664748000000068
28,0.589220868,0.618165995,0.02894512700000007
